date,depth,light_incub,P_manip
17-06-2015,40,0,0.0945762556
,,0,0.0858229213
,,0,0.0975946468
,,0,0.0942744165
,,0.57,0.0882376343
,,0.89,0.0870302778
,,1.91,0.0951799339
,,2.73,0.0978964859
,,3.65,0.0997075206
,,4.56,0.0985001641
,,6.02,0.100914877
,,9.27,0.114195798
,,10.93,0.1132902807
,,15.64,0.1157049936
,,21.8,0.1132902807
,,42.92,0.1250620061
,,52.1,0.132607984
,,74.01,0.1416631574
,,79.22,0.1410594792
,,100.31,0.1241564888
,,112.61,0.1392484445
,,162.26,0.1338153404
,,200.3,0.1368337316
,,252.7,0.1440778703
,,309.3,0.1371355707
,,475.5,0.1419649965
,,604.8,0.1434741921
,,916.4,0.1362300533
19-06-2015,2.1,0,0.0749019825
,,0,0.0835535122
,,0,0.0840211624
,,0.01,0.0828520368
,,0.85,0.1076375003
,,1.92,0.1635217058
,,3.72,0.2229132881
,,6.04,0.3814467245
,,7.92,0.4653899452
,,13.49,0.7424727212
,,18.32,0.9119959386
,,30.54,1.3045883275
,,39.98,2.1447220102
,,58.37,2.8476003431
,,83.32,2.9348171157
,,107.32,3.0047308288
,,137.66,3.1487671072
,,160.6,3.0061337795
,,179.66,2.8798682107
,,204.7,2.9268670613
,,256.1,2.8017706182
,,313.7,2.7327922056
,,294.1,
,,383.2,2.672932973
,,474.5,2.9011462973
,,563.9,2.9949101734
,,756.5,2.5108921597
,,1071.3,2.3755074109
19-06-2015,5,0.01,0.0889416448
,,0,0.0825435335
,,0,0.0832544348
,,0,0.0813586981
,,0.75,0.1055293405
,,1.66,0.1360980941
,,3.07,0.1979465025
,,4.95,0.4202216253
,,8.58,0.5768568665
,,11.28,0.5332549234
,,19.77,0.7695111042
,,24.74,1.0917863356
,,37.48,1.5839669649
,,60.08,2.0877589811
,,82.56,3.1638265003
,,108.41,2.4474750115
,,134.16,2.7834943337
,,152.83,2.7818355642
,,161.24,2.5849159191
,,178.32,2.9138262288
,,204.5,3.28159914
,,219.4,2.804347437
,,284.3,3.4458173278
,,343.3,2.7531625472
,,405.2,3.1825468998
,,541.7,
,,736.7,2.3109819723
